id_venda,data,id_cliente,id_vendedor,produto,valor
1,2024-01-31,30,8,Mesa,943
2,2024-03-31,187,16,Notebook,3529
3,2024-03-01,76,16,Cadeira,787
4,2024-04-18,15,3,Mesa,1095
5,2024-03-31,82,17,Monitor,1601
6,2024-06-11,92,9,Monitor,1677
7,2024-04-04,23,3,Monitor,1676
8,2024-05-22,94,20,Monitor,1583
9,2024-05-23,45,7,Monitor,1645
10,2024-01-13,62,18,Mesa,1059
11,2024-04-22,199,12,Mesa,983
12,2024-02-04,15,19,Teclado,175
13,2024-05-28,46,16,Mouse,170
14,2024-06-06,64,17,Monitor,1668
15,2024-02-17,174,20,Notebook,3618
16,2024-02-04,184,15,Mesa,924
17,2024-03-26,172,1,Notebook,3487
18,2024-06-14,75,2,Notebook,3657
19,2024-06-07,157,8,Notebook,3532
20,2024-05-31,190,2,Teclado,320
21,2024-04-23,52,19,Mesa,1030
22,2024-06-25,182,9,Notebook,3592
23,2024-04-09,88,9,Monitor,1667
24,2024-06-08,57,13,Cadeira,805
25,2024-04-08,83,6,Notebook,3554
26,2024-01-03,66,15,Teclado,333
27,2024-03-25,150,19,Mesa,880
28,2024-05-04,20,15,Teclado,360
29,2024-05-17,33,18,Notebook,3634
30,2024-03-23,72,7,Mesa,1028
31,2024-01-25,25,11,Cadeira,901
32,2024-03-08,46,8,Notebook,3507
33,2024-03-01,73,6,Teclado,222
34,2024-01-29,98,8,Mouse,284
35,2024-05-06,57,2,Monitor,1581
36,2024-01-19,87,19,Teclado,159
37,2024-06-19,133,16,Mesa,1040
38,2024-03-14,55,7,Notebook,3522
39,2024-03-01,61,10,Monitor,1660
40,2024-06-19,89,12,Notebook,3464
41,2024-06-01,8,17,Mesa,1092
42,2024-01-20,16,7,Notebook,3547
43,2024-02-17,176,8,Mouse,303
44,2024-03-27,116,7,Monitor,1512
45,2024-05-31,61,4,Monitor,1468
46,2024-05-18,15,3,Mesa,962
47,2024-04-19,193,19,Mouse,132
48,2024-01-28,150,15,Teclado,265
49,2024-02-28,131,4,Notebook,3633
50,2024-05-12,102,9,Cadeira,770
51,2024-02-20,54,13,Notebook,3611
52,2024-05-28,14,18,Notebook,3692
53,2024-01-12,36,16,Teclado,294
54,2024-02-19,105,1,Notebook,3595
55,2024-05-11,82,4,Mouse,150
56,2024-04-22,67,18,Mouse,135
57,2024-06-18,10,8,Monitor,1628
58,2024-06-14,49,20,Mesa,914
59,2024-06-01,111,16,Cadeira,792
60,2024-01-14,65,11,Notebook,3506
61,2024-02-01,57,20,Notebook,3587
62,2024-05-18,27,19,Teclado,186
63,2024-05-25,113,19,Mesa,1025
64,2024-06-03,133,18,Mouse,189
65,2024-02-24,71,19,Cadeira,818
66,2024-04-29,83,11,Monitor,1505
67,2024-03-15,57,3,Mouse,188
68,2024-01-21,120,8,Mesa,1053
69,2024-06-20,93,20,Monitor,1613
70,2024-05-12,15,19,Teclado,308
71,2024-03-27,111,10,Teclado,204
72,2024-06-17,101,16,Notebook,3487
73,2024-02-28,119,5,Mesa,1092
74,2024-03-29,76,20,Cadeira,950
75,2024-05-29,158,9,Monitor,1685
76,2024-03-23,20,8,Mouse,287
77,2024-03-05,165,11,Mesa,864
78,2024-03-04,131,16,Mesa,993
79,2024-03-11,73,7,Teclado,226
80,2024-01-04,122,15,Notebook,3666
81,2024-05-22,41,20,Notebook,3671
82,2024-04-13,167,17,Monitor,1502
83,2024-05-29,154,6,Teclado,333
84,2024-06-23,130,15,Mesa,856
85,2024-04-02,23,8,Cadeira,934
86,2024-06-22,23,7,Teclado,204
87,2024-05-21,144,2,Monitor,1501
88,2024-06-26,9,13,Monitor,1453
89,2024-05-27,13,6,Teclado,192
90,2024-06-26,156,5,Monitor,1489
91,2024-04-21,155,20,Teclado,379
92,2024-06-09,51,1,Mouse,190
93,2024-04-28,64,18,Teclado,179
94,2024-02-28,52,15,Teclado,287
95,2024-02-12,38,10,Monitor,1671
96,2024-01-12,100,3,Monitor,1552
97,2024-02-09,193,5,Notebook,3456
98,2024-04-27,146,13,Notebook,3613
99,2024-01-20,191,8,Mouse,232
100,2024-06-14,51,2,Notebook,3665
101,2024-05-10,137,9,Teclado,316
102,2024-06-04,141,17,Monitor,1613
103,2024-03-30,168,18,Notebook,3558
104,2024-04-03,55,13,Notebook,3469
105,2024-01-13,109,1,Mouse,118
106,2024-03-06,171,12,Mesa,945
107,2024-02-06,44,20,Mouse,128
108,2024-06-25,110,20,Teclado,380
109,2024-03-06,196,5,Monitor,1626
110,2024-02-05,161,8,Mouse,159
111,2024-01-26,152,15,Notebook,3475
112,2024-03-15,164,3,Monitor,1485
113,2024-04-17,128,6,Monitor,1620
114,2024-06-16,105,13,Notebook,3575
115,2024-02-12,10,12,Mouse,296
116,2024-05-29,100,19,Notebook,3492
117,2024-05-27,148,18,Mesa,948
118,2024-01-08,109,1,Monitor,1653
